codice,descrizione,quantita,
5101850-Y01,Assieme piastra esterna trave rinforzo molla sospensione anteriore sinistra,1,MY24
5101860-Y01,Assieme piastra esterna trave rinforzo molla sospensione anteriore destra,1,MY24
5133834Y0280,Staffa montaggio paraurti posteriore,2,MY24
5701090-Y01,Assieme longherone superiore,1,MY24
5701011-Y01,Copertura trave anteriore superiore,1,MY24
5701030-Y01,Assieme piastra inferiore trave anteriore tetto,1,MY24
5701020Y0240,Assieme trave posteriore copertura tetto,1,MY24
5601112Y0280,Assieme trave posteriore copertura tetto,1,MY24
5401111-Y01,Pannello esterno lato sinistro,1,MY24
5401110-Y01,Assieme staffa montaggio paraurti posteriore sinistra,1,MY24
5401150-Y01,Assieme convogliatore flusso posteriore lato sinistro,1,MY24
5101551-Y01,Assieme staffa montaggio integrata,1,MY24
5401810-Y01,Assieme piastra montaggio serratura porta sinistra,1,MY24
5401301-Y01,Piastra rinforzo montante A sinistro,1,MY24
5401303-Y01,Segmento superiore rinforzo montante A sinistro,1,MY24
5401310-Y01,Assieme piastra rinforzo cerniera superiore sinistra,1,MY24
5401330-Y01,Assieme piastra rinforzo cerniera inferiore sinistra,1,MY24
5401313Y0230,Assieme staffa faro sinistro,1,MY24
5401011-Y01,Piastra collegamento trave anteriore tetto sinistra,1,MY24
5401015-Y01,Piastra interna trave laterale superiore sinistra,1,MY24
5401017-Y01,Segmento posteriore interno sinistro,1,MY24
5401710Y0240,Assieme pannello interno superiore lato sinistro posteriore,1,MY24
5701037Y0240,Piastra rinforzo cerniera posteriore sinistra,1,MY24
5401713Y0240,Assieme piastra dado cintura di sicurezza,1,MY24
5401240Y0230,Assieme pannello interno soglia destra,1,MY24
5401112-Y01,Pannello esterno lato destro,1,MY24
5401120-Y01,Assieme staffa montaggio paraurti posteriore destra,1,MY24
5401160-Y01,Assieme convogliatore flusso posteriore lato destro,1,MY24
5401820-Y01,Assieme piastra montaggio serratura porta destra,1,MY24
5401302-Y01,Piastra rinforzo montante A destro,1,MY24
5401304-Y01,Segmento superiore rinforzo montante A destro,1,MY24
5401320-Y01,Assieme piastra rinforzo cerniera superiore destra,1,MY24
5401340-Y01,Assieme piastra rinforzo cerniera inferiore destra,1,MY24
5401413Y0230,Assieme staffa faro destro,1,MY24
5401012-Y01,Piastra collegamento trave anteriore tetto destra,1,MY24
5401016-Y01,Piastra interna trave laterale superiore destra,1,MY24
5401018-Y01,Piastra interna posteriore inferiore lato destro,1,MY24
5401810Y0240,Assieme pannello interno superiore lato destro posteriore,1,MY24
5701038Y0240,Piastra rinforzo cerniera posteriore destra,1,MY24
5130158Y0240,Trave scheletro inferiore batteria sinistra,1,MY24
5130258Y0240,Trave scheletro inferiore batteria destra,1,MY24
5101790Y0230,Assieme trave inferiore pavimento centrale,1,MY24
5301037-Y01,Assieme staffa montaggio parete anteriore inferiore destra,1,MY24
5101503-Y01,Piastra supporto copertura riparazione posteriore,1,MY24
5101803-Y01,Guarnizione pavimento posteriore sinistra,1,MY24
5101804-Y01,Guarnizione pavimento posteriore destra,1,MY24
5601130-Y01,Assieme pannello interno posteriore,1,MY24
5101950Y0230,Assieme guarnizione pavimento centrale sinistra,1,MY24
5101960Y0230,Assieme guarnizione pavimento centrale destra,1,MY24
5101801-Y01,Piastra sigillante schienale sedile,1,MY24
5101751-Y01,Corpo vasca,1,MY24
5101753-Y01,Piastra sigillante vasca sinistra,1,MY24
5101745Y0230,Assieme piastra sigillante vasca destra,1,MY24
5102630-Y01,Assieme trave rinforzo anteriore sedile,1,MY24
5102620Y0250,Assieme trave rinforzo posteriore sedile,1,MY24
5101331Y0230,Assieme staffa montaggio cruscotto ausiliario anteriore,1,MY24
5101341Y0230,Assieme staffa montaggio cruscotto ausiliario posteriore,1,MY24
5101759Y0230,Assieme staffa montaggio freno a mano,1,MY24
5130100Y0250,Assieme longherone posteriore sinistro,1,MY24
5130200Y0250,Assieme longherone posteriore destro,1,MY24
5130710Y0240,Assieme trave scheletro pavimento posteriore,1,MY24
5130301Y0240,Assieme longherone scheletro pavimento posteriore sinistro,1,MY24
5130401Y0240,Assieme longherone scheletro pavimento posteriore destro,1,MY24
5130156Y0240,Piastra rinforzo longherone pavimento posteriore sinistro,1,MY24
5130256Y0240,Piastra rinforzo longherone pavimento posteriore destro,1,MY24
5301120Y0210,Assieme staffa montaggio pedale acceleratore,1,MY24
5301400-Y01,Assieme copertura ruota anteriore destra,1,MY24
5301300-Y01,Assieme copertura ruota anteriore sinistra,1,MY24
5101739Y0210,Base montaggio colonna sterzo,1,MY24
5101731-Y01,Corpo pavimento centrale,1,MY24
5101480Y0240,Assieme piastra esterna longherone anteriore destro,1,MY24
5101490Y0240,Assieme piastra esterna longherone anteriore sinistro,1,MY24
5101573-Y01,Piastra interna rinforzo trave molla sospensione anteriore sinistra,1,MY24
5101311-Y01,Piastra superiore supporto molla sospensione anteriore sinistra,1,MY24
5101131Y0240,Assieme piastra inferiore supporto molla sospensione anteriore sinistra,1,MY24
5101577Y0240,Assieme piastra collegamento copertura ruota anteriore sinistra,1,MY24
5101710-Y01,Assieme staffa faro II sinistra,1,MY24
5101574-Y01,Piastra interna rinforzo trave molla sospensione anteriore destra,1,MY24
5101141Y0240,Assieme piastra inferiore supporto molla sospensione anteriore destra,1,MY24
5101143Y0240,Assieme piastra collegamento copertura ruota anteriore destra,1,MY24
5101720-Y01,Assieme staffa faro II destra,1,MY24
5101312-Y01,Piastra superiore supporto molla sospensione anteriore destra,1,MY24
5101933-Y01,Staffa tubo freno posteriore,2,MY24
5101470Y0230,Assieme longherone anteriore sinistro,1,MY24
5101390Y0230,Assieme longherone anteriore destro,1,MY24
5101820Y0240,Assieme trave inferiore presa di ricarica,1,MY24
5101830Y0240,Assieme trave superiore presa di ricarica,1,MY24
5101291Y0240,Componente staffa protezione anteriore destra,1,MY24
5101283Y0240,Assieme staffa protezione anteriore sinistra,1,MY24
5101287Y0240,Assieme piastra collegamento staffa protezione anteriore sinistra,1,MY24
5101297Y0240,Assieme piastra collegamento staffa protezione anteriore destra,1,MY24
5301110Y0240,Assieme corpo parete anteriore,1,MY24
5301151-Y01,Piastra montaggio pompa freno,1,MY24
5301165Y0210,Assieme piccola staffa unità climatizzazione,1,MY24
5301153Y0250,Assieme piastra rinforzo superiore parete anteriore sinistra,1,MY24
5101174-Y01,Piastra sigillante trave inferiore pavimento centrale,1,MY24
5101178Y0240,Piastra rinforzo longherone centrale sinistra,1,MY24
5101278Y0240,Piastra rinforzo longherone centrale destra,1,MY24
5101650Y0240,Assieme longherone inferiore pavimento centrale sinistro,2,MY24
5103760Y0240,Assieme trave posteriore pavimento centrale,1,MY24
5101770Y0240,Assieme trave inferiore pavimento centrale,1,MY24
5101910Y0240,Assieme base montaggio braccio oscillante posteriore sinistra,1,MY24
5101920Y0240,Assieme base montaggio braccio oscillante posteriore destra,1,MY24
5101981Y0240,Assieme connettore trave sinistro,1,MY24
5101991Y0240,Assieme connettore trave destro,1,MY24
5130128Y0240,Staffa tubo freno posteriore sinistra,2,MY24
5104760-Y01,Assieme trave inferiore pavimento centrale,1,MY24
5101175Y0230,Staffa fissaggio cavo freno a mano,1,MY24
5301190Y0240,Assieme trave rinforzo parete anteriore,1,MY24
5301103Y0240,Assieme trave rinforzo inferiore parete anteriore,1,MY24
5301140Y0205,Assieme staffa montaggio pedale freno,1,MY24
5301050Y0250,Assieme staffa montaggio tergicristallo destro,1,MY24
5301510-Y01,Assieme supporto tergicristallo,1,MY24
5301530-Y01,Assieme trave superiore parabrezza,1,MY24
5301570Y0240,Assieme trave inferiore parabrezza,1,MY24
5301039-Y01,Piastra rinforzo staffa montaggio colonna sterzo,1,MY24
5301541-Y01,Assieme staffa montaggio superiore colonna sterzo,1,MY24
5301971Y0230,Assieme staffa montaggio VCU,1,MY24
5101125Y0230,Assieme staffa montaggio protezione sottoscocca,2,MY24
S37110003,Dado rettangolare M10*1.25 Dacromet classe 10,2,MY24
5133812Y0250,Trave scheletro inferiore batteria,1,MY24
5133820Y0280,Assieme trave scheletro inferiore batteria,1,MY24
5133992Y0210B,Piastra copertura anteriore scatola batteria di potenza,1,MY24
5133820Y0250,Assieme trave scheletro inferiore batteria,1,MY24
5109105-Y01B,Tappetino poggiapiedi,1,MY24
B5305040Y0230,Assieme bracciolo,1,MY24
5305065Y0230,Tampone in gomma,1,MY24
5305064Y0230D,Pannello rifinitura bracciolo sinistro,1,MY24
5305066Y0230D,Pannello rifinitura bracciolo destro,1,MY24
5306020Y0240,Assieme corpo superiore quadro strumenti,1,MY24
5306134Y0240,Vano portaoggetti quadro strumenti,1,MY24
5306140-Y01,Assieme bocchetta aria destra,1,MY24
5306151Y0240D,Mascherina strumenti,1,MY24
5306040Y0210,Assieme corpo inferiore quadro strumenti,1,MY24
5306208Y0230,Pannello frontale strumenti,3,MY24
5402011Y0230,Pannello protezione interno parete anteriore sinistra,1,MY24
5703011Y0240,Rivestimento interno tetto,1,MY24
5703021Y0240,Copertura apertura servizio cerniera sinistra portellone,1,MY24
5703022Y0240,Copertura apertura servizio cerniera destra portellone,1,MY24
6102031Y0240D,Pannello rifinitura intermedio sinistro,1,MY24
6102021Y0260,Pannello interno porta destra,1,MY24
6102041Y0240D,Pannello rifinitura intermedio destro,1,MY24
6102050Y0260,Gancio nascosto,1,MY24
6302011Y0250,Portellone,1,MY24
6302016Y0240,Copertura servizio,1,MY24
5109101Y0230,Corpo tappeto,1,MY24
5109150Y0230,Pannello accesso,1,MY24
5109103Y0230,Piastra copertura bagagliaio,1,MY24
5305010Y0230,Assieme corpo cruscotto ausiliario,1,MY24
5305016Y0230,Assieme rifinitura inferiore cruscotto ausiliario,1,MY24
5305013Y0230,Tappetino portabicchieri,1,MY24
5305014Y0230,Tappetino vano portaoggetti centrale,1,MY24
5305017Y0230D,Pannello verniciato cruscotto ausiliario,1,MY24
3102111Y0240,Pannello protezione passaruota anteriore sinistro,1,MY24
3102112Y0240,Pannello protezione passaruota anteriore destro,1,MY24
3102113Y0240,Pannello protezione passaruota posteriore sinistro,1,MY24
3102117Y0240,Pannello rifinitura laterale passaruota posteriore sinistro,1,MY24
3102114Y0240,Pannello protezione passaruota posteriore destro,1,MY24
3102118Y0240,Pannello rifinitura laterale passaruota posteriore destro,1,MY24
5603100Y0250,Assieme vetro posteriore,1,MY24
5206010Y0240,Vetro parabrezza anteriore,1,MY24
5107103Y0230,Protezione inferiore,1,MY24
3100120Y0230,Assieme copertura rifinitura cerchio acciaio,4,MY24
5400100Y0240D,Assieme pannello rifinitura superiore parete sinistra anteriore,1,MY24
5400300Y0240D,Assieme pannello rifinitura superiore parete sinistra posteriore,1,MY24
5400500Y0260D,Assieme piccola rifinitura lato sinistro,1,MY24
5400777-Y01,Fermaglio,4,MY24
Q221B4213F71,Vite autofilettante testa a croce con rondella piana,4,MY24
5400773-Y01D,Soglia inferiore sinistra,1,MY24
5400315Y0210,Fermaglio a D lungo,2,MY24
5400324Y0210,Tappetino spugna impermeabile,1,MY24
S99006161,Vite testa cilindrica interna con rondella plastica M6*16*P1 zincatura nero-nichel,4,MY24
5400783-Y01D,Soglia inferiore destra,1,MY24
5400200Y0240D,Assieme pannello rifinitura superiore parete destra anteriore,1,MY24
5400400Y0240D,Assieme pannello rifinitura superiore parete destra posteriore,1,MY24
5400600Y0260D,Assieme piccola rifinitura lato destro,1,MY24
5702110Y0240D,Assieme copertura tetto,1,MY24
5702301Y0240,Bullone F copertura tetto,6,MY24
5702018Y0240,Guarnizione impermeabile copertura tetto,10,MY24
6102500Y0240D,Pannello esterno porta sinistra,1,MY24
6102073Y0240D,Pannello superiore porta sinistra,1,MY24
6102057Y0260,Fermaglio metallico a V,13,MY24
6102079Y0240,Piastra montaggio interruttore PE,1,MY24
6102052Y0240,Bullone montaggio pannello esterno porta,3,MY24
6102507Y0240,Spugna antipolvere,1,MY24
6102055Y0240,Dado lamellare tipo A - ST4.2,1,MY24
6102509Y0240,Feltro 100x20x0.7,1,MY24
6102600Y0240D,Pannello esterno porta destra,1,MY24
6102074Y0240D,Pannello superiore porta destra,1,MY24
5306158Y0230,Logo Pro,1,MY24
5302100Y0240,Assieme copertura tergicristallo anteriore,1,MY24
5302102Y0240,Copertura bocchettone liquido lavavetri (I),1,MY24
5302200Y0240,Assieme corpo vasca flusso anteriore,1,MY24
5302700Y0210D,Pannello rifinitura superiore faro anteriore sinistro,1,MY24
5302800Y0210D,Pannello rifinitura superiore faro anteriore destro,1,MY24
5704100Y0240,Assieme vetro tetto sinistro,1,MY24
5701211Y0230,Guarnizione vetro tetto sinistro,1,MY24
5704200Y0240,Assieme vetro tetto destro,1,MY24
5701212Y0230,Guarnizione vetro tetto destro,1,MY24
8403101Y0240D,Parafango sinistro,1,MY24
8403107Y0240,Supporto dado plastico,10,MY24
8403105Y0240,Staffa parafango sinistro,1,MY24
8403201Y0240D,Parafango destro,1,MY24
8403205Y0240,Staffa parafango destro,1,MY24
8403109Y0240,Fermaglio a fungo (L25 W20 T5.5),6,MY24
2803013Y0240,Staffa montaggio paraurti anteriore sinistra,1,MY24
2803014Y0240,Staffa montaggio paraurti anteriore destra,1,MY24
2804100Y0250D,Assieme corpo paraurti posteriore,1,MY24
2804530Y0210,Pannello rifinitura interno porta scorrevole,1,MY24
2804201Y0240,Staffa montaggio paraurti posteriore sinistra,1,MY24
2804301Y0240,Staffa montaggio paraurti posteriore destra,1,MY24
2804101Y0250D,Corpo paraurti posteriore,1,MY24
2804102Y0250D,Piastra rifinitura inferiore paraurti posteriore,1,MY24
4133041Y0240,Catadiottro posteriore sinistro,1,MY24
4133042Y0240,Catadiottro posteriore destro,1,MY24
6302010Y0240D,Pannello spoiler superiore cofano,1,MY24
6103200Y0240,Assieme vetro porta destra,1,MY24
6104120Y0230,Assieme alzacristalli elettrico porta destra,1,MY24
6103100Y0240,Assieme vetro porta sinistra,1,MY24
6104110Y0230,Assieme alzacristalli elettrico porta sinistra,1,MY24
6107118Y0230,Guarnizione esterna vetro porta destra,1,MY24
6107117Y0230,Guarnizione esterna vetro porta sinistra,1,MY24
6309110Y0240,Molla a gas,2,MY24
6309200Y0240,Cerniera portellone,2,MY24
6309103Y0240,Perno sferico molla a gas,2,MY24
S99008001,Dado flangiato esagonale M8 Dacromet argento,4,MY24
6309300Y0240,Tampone portellone,2,MY24
6309101Y0240,Staffa montaggio barra pneumatica portellone sinistra,1,MY24
6309102Y0240,Staffa montaggio barra pneumatica portellone destra,1,MY24
Z6900100Y0230,Assieme sedile anteriore sinistro,1,MY24
Z6900200Y0230,Assieme sedile anteriore destro,1,MY24
S40210002,Rondella grande Ø10 Dacromet nero,4,MY24
8201010Y0205,Specchietto retrovisore interno,1,MY24
8204010Y0230,Assieme aletta parasole,2,MY24
5606032Y0210,Maniglia blocco tappo porta di ricarica anteriore,1,MY24
5606033Y0210,Cavo blocco tappo porta di ricarica anteriore,1,MY24
4133010Y0250,Assieme luce combinata posteriore sinistra,1,MY24
4133020Y0250,Assieme luce combinata posteriore destra,1,MY24
6105207Y0260,Rifinitura chiusura serratura porta,2,MY24
5606011Y0205,Assieme serratura elettrica portellone,1,MY24
4121010Y0210,Assieme luce combinata anteriore sinistra (parte spessa luce diurna),1,MY24
4121901Y0210,Lampadina H7,2,MY24
4121903Y0210,Copertura posteriore luce combinata anteriore sinistra,2,MY24
4121020Y0210,Assieme luce combinata anteriore destra (parte spessa luce diurna),1,MY24
5111020Y0280,Tappo foro termofusione Ø20,4,MY24
5111040Y0280,Tappo foro termofusione Ø40,4,MY24
5107018Y0210,Adesivo foro Ø25,18,MY24
5107101Y0240,Tappo speciale Ø25 per fori scorrevoli e basculanti,2,MY24
5302105Y0230,Attrezzo tappo riempimento,1,MY24
